canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
CC(C)Cn1ccnc1/C=C/C(=O)/C=C/c1nccn1CC(C)C,-5.6,0.6952711274755291,3.2329264894090777,0,0,0,1,0,Ахиральная,True,0,E/Z указана,ligand_4090,-5.8
c1ccc(COc2nnc(-c3ccccc3)o2)cc1,-7.1,0.7143070637902411,1.8775485386662163,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4091,-7.0
COCCNC(=O)C(=O)N/N=C(\C)CC(=O)Nc1cccc(C(F)(F)F)c1,-6.0,0.2830204443674504,2.3675124739560403,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4093,-5.2
O=C(NCCc1ccc(OCC(F)(F)F)c(OCC(F)(F)F)c1)c1cc2sccc2n1Cc1ccccc1,-4.7,0.2239565727856078,2.6538599064986137,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4095,-6.0
O=C(N/N=C/c1cn(-c2ccccc2)nc1-c1ccc(F)cc1)c1ccc(Br)o1,-1.3,0.3487786723649994,2.3039951413014457,0,0,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_4097,-2.3
c1ccc(CNCc2ccccc2)cc1,-6.4,0.7941891118142109,1.2152685034192992,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_4099,-6.4
CN(C)c1cc2[nH]c(C3CCCCC3)nc2cc1NC(=O)c1cccc(Br)c1,-1.4,0.5468521280185119,2.433007736970355,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4101,0.6
CCN1CCN(C2=C(Nc3cccc(Cl)c3)C(=O)c3ccccc3C2=O)CC1,-8.1,0.8553602735524569,2.297396775431894,1,0,1,0,0,Ахиральная,True,0,E/Z не применима,ligand_4103,-8.0
O=C(Nc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1)c1ccccc1,-5.3,0.6487722288263977,1.7610172817610064,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4105,-5.3
COc1ccc(Br)c(C(=O)NC(C)(C)CO)c1,-6.1,0.8936452049981358,2.109097351071325,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4106,-6.0
