canonical_smiles,docking_score,QED,Synthetic Accessibility,PAINS,SureChEMBL,Glaxo,Brenk,IC50,Chirality,FullStereoInfo,NumChiralCenters,E/Z_status,ligand_name,Minimum Energy
O=C1c2nc[nH]c2C(=O)N1Cc1cccs1,-6.2,0.7941390179450432,2.78765884324131,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_6337,-6.2
N/N=C(\Cc1cscn1)c1ccc(O)cc1O,-6.0,0.4360189296546043,3.0232156203020946,1,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3300,-6.0
O=C(Nc1cc(N2CCCCC2)ncn1)c1ccccc1Cl,-7.0,0.9428546646599528,1.968135857186757,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_2048,-7.1
C=CCSc1nncn1/N=C/c1ccc(OC)cc1,-5.6,0.4610594066420242,2.571866286181858,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_3173,-5.6
COc1ccc(/C(COc2ccc3oc(-c4ccccc4)cc(=O)c3c2)=N\O)cc1,-8.0,0.2870618168731612,2.27059180462148,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_5326,-7.8
CC(=O)N(C)c1nc(-c2nnc(Cc3ccc(F)cc3)o2)c(O)c2ncccc12,-5.6,0.5678554155672332,2.81705629112723,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_4759,-5.4
O=[N+]([O-])c1ccc(S(=O)(=O)NCc2csc3ccccc23)cc1,-7.0,0.5658114048364352,2.0921217848081533,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_8324,-7.0
O=C(Cn1cnc([N+](=O)[O-])c1)NC1CCCC1,-5.6,0.6215462316134162,2.468489658763634,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_2158,-5.7
COc1ccc(NC(=O)CONC(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1Cl,-7.3,0.4743978631748027,2.4108786804327966,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_6099,-7.1
COc1cc(/C=N\Nc2nc3ccccc3o2)cc(OC)c1OC,-6.8,0.5527100295599554,2.272301031414768,0,0,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_648,-6.7
O=C(/N=C1\c2ccccc2CN1c1ccc(F)cc1)c1ccc(Cl)nc1,-8.7,0.628816532960787,2.428687951002121,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_1461,-7.8
Cc1nnc(NCC=Cc2ccccc2)s1,-6.6,0.8786970765903072,2.2266741709293463,0,1,0,0,1,Ахиральная,True,0,E/Z не указана,ligand_1237,-6.5
CC#Cc1c(C)nn(-c2ccccc2)c1-c1ccccc1,-7.2,0.6386393413979735,2.21649809710304,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_9899,-7.2
O=C1Cc2cc(S(=O)(=O)Nc3cccc4cccnc34)ccc2N1,-8.4,0.7673756743830805,2.229807385929819,0,0,0,0,1,Ахиральная,True,0,E/Z не применима,ligand_5377,-8.5
CN(C)CCNC(=O)c1onc(CSc2ccncc2)c1C(=O)NCCN(C)C,-5.2,0.5179887281307111,2.762446118102421,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_391,-5.2
CC(C)CC[C@H](NC(=O)c1ccc(CNC(=O)c2cnn(-c3ccccc3)c2C(F)(F)F)cc1)C(N)=O,3.5,0.3801209515859929,2.8749357621453893,0,0,0,0,0,Хиральная,True,1,E/Z не применима,ligand_8439,2.9
CCCNc1nc(NCc2cccnc2)nc(N2CCOCC2)n1,-5.9,0.7906906805712877,2.3424542557776675,0,0,0,0,0,Ахиральная,True,0,E/Z не применима,ligand_3502,-6.6
O=C1CCCC(=O)O1,-4.1,0.3344105458634655,2.62070763101422,0,1,1,1,1,Ахиральная,True,0,E/Z не применима,ligand_1011,-4.1
CCOC(=O)c1c(/N=C/N(C)C)sc2c1CCC2,-6.0,0.4777618212588348,2.662015425991914,0,0,0,1,1,Ахиральная,True,0,E/Z не применима,ligand_2777,-5.8
CN1C(=O)/C(=C/c2ccc(/C=C/C(=O)N3CCN(CCO)CC3)s2)Oc2ccccc21,48.8,0.7240901636668308,2.8072257433603927,0,0,0,1,0,Ахиральная,True,0,E/Z указана,ligand_7113,7.7
CN(C)C(=N)c1ccc(C(=O)Nc2ccc(C#N)cc2C(=O)Nc2ccc(Cl)cn2)cc1,-3.6,0.4036032221499743,2.4155193914884165,0,1,0,1,0,Ахиральная,True,0,E/Z не применима,ligand_6018,-3.1
CCCCC[C@H](CN(O)C=O)C(=O)NCNC(=O)c1cc(C(F)(F)F)cc(-c2ccccc2)n1,-6.4,0.1412989103671594,3.2887496297908205,0,1,0,1,0,Хиральная,True,1,E/Z не применима,ligand_6822,-2.7
CC(=O)Nn1c(S)nnc1Cc1c(NC(=O)CCl)sc2c1CCCC2,-7.1,0.531572498653405,3.16290354386895,0,1,1,1,0,Ахиральная,True,0,E/Z не применима,ligand_8143,-7.2
